VariantsC(
  (decoder): Sequential(
    (0): Conv2d(8, 192, kernel_size=(1, 1), stride=(1, 1))
    (1): PixelShuffle(upscale_factor=8)
  )
  (encoder): ModuleList(
    (0): SSMBlock(
      (block): S4ND(
        (kernel): ModuleList(
          (0-1): 2 x SSMKernelDPLR()
        )
      )
    )
    (1-3): 3 x Sequential(
      (0): SSMBlock(
        (block): S4ND(
          (kernel): ModuleList(
            (0-1): 2 x SSMKernelDPLR()
          )
        )
      )
      (1): Conv2d(3, 8, kernel_size=(1, 1), stride=(1, 1))
    )
  )
  (downsample): ModuleList(
    (0): Sequential(
      (0): Upsample(scale_factor=0.5, mode='bicubic')
      (1): Conv2d(3, 8, kernel_size=(1, 1), stride=(1, 1))
    )
    (1-2): 2 x Sequential(
      (0): Upsample(scale_factor=0.5, mode='bicubic')
      (1): Conv2d(8, 8, kernel_size=(1, 1), stride=(1, 1))
    )
    (3): Identity()
  )
)
Encoder_0.0M_Decoder_0.0M_Total_0.0M
[2025/03/05 18:05:54] Rank:None, Sample ID:169, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.4531
[2025/03/05 18:06:02] Rank:None, Sample ID:170, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.7932
[2025/03/05 18:06:10] Rank:None, Sample ID:171, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.3273
[2025/03/05 18:06:17] Rank:None, Sample ID:172, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.7887
[2025/03/05 18:06:25] Rank:None, Sample ID:173, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.4499
[2025/03/05 18:06:32] Rank:None, Sample ID:174, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.6663
[2025/03/05 18:06:40] Rank:None, Sample ID:175, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.581
[2025/03/05 18:06:48] Rank:None, Sample ID:176, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.6067
[2025/03/05 18:06:56] Rank:None, Sample ID:177, Epoch[300/300], lr:0.00e+00 pred_PSNR: 23.1176
[2025/03/05 18:07:04] Rank:None, Sample ID:178, Epoch[300/300], lr:0.00e+00 pred_PSNR: 25.9101
[2025/03/05 18:07:12] Rank:None, Sample ID:179, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.7091
[2025/03/05 18:07:19] Rank:None, Sample ID:180, Epoch[300/300], lr:0.00e+00 pred_PSNR: 23.3053
[2025/03/05 18:07:27] Rank:None, Sample ID:181, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.6874
[2025/03/05 18:07:34] Rank:None, Sample ID:182, Epoch[300/300], lr:0.00e+00 pred_PSNR: 14.9569
[2025/03/05 18:07:42] Rank:None, Sample ID:183, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.7392
[2025/03/05 18:07:50] Rank:None, Sample ID:184, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.8633
[2025/03/05 18:07:58] Rank:None, Sample ID:185, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.621
[2025/03/05 18:08:06] Rank:None, Sample ID:186, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.2499
[2025/03/05 18:08:14] Rank:None, Sample ID:187, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.4944
