VariantsB(
  (decoder): Sequential(
    (0): Conv2d(8, 192, kernel_size=(1, 1), stride=(1, 1))
    (1): PixelShuffle(upscale_factor=8)
  )
  (encoder): ModuleList(
    (0): TransformerBlock(
      (inflation): Conv2d(3, 16, kernel_size=(1, 1), stride=(1, 1))
      (transformer): MultiheadAttention(
        (out_proj): NonDynamicallyQuantizableLinear(in_features=16, out_features=16, bias=True)
      )
      (deflation): Conv2d(16, 3, kernel_size=(1, 1), stride=(1, 1))
    )
    (1-3): 3 x Sequential(
      (0): TransformerBlock(
        (inflation): Conv2d(3, 16, kernel_size=(1, 1), stride=(1, 1))
        (transformer): MultiheadAttention(
          (out_proj): NonDynamicallyQuantizableLinear(in_features=16, out_features=16, bias=True)
        )
        (deflation): Conv2d(16, 3, kernel_size=(1, 1), stride=(1, 1))
      )
      (1): Conv2d(3, 8, kernel_size=(1, 1), stride=(1, 1))
    )
  )
  (downsample): ModuleList(
    (0): Conv2d(3, 8, kernel_size=(2, 2), stride=(2, 2))
    (1-2): 2 x Conv2d(8, 8, kernel_size=(2, 2), stride=(2, 2))
    (3): Identity()
  )
)
Encoder_0.03M_Decoder_0.0M_Total_0.0M
[2025/03/05 17:40:37] Rank:None, Sample ID:109, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.2427
[2025/03/05 17:40:42] Rank:None, Sample ID:110, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.2295
[2025/03/05 17:40:46] Rank:None, Sample ID:111, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.1496
[2025/03/05 17:40:50] Rank:None, Sample ID:112, Epoch[300/300], lr:0.00e+00 pred_PSNR: 23.1978
[2025/03/05 17:40:55] Rank:None, Sample ID:113, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.1925
[2025/03/05 17:40:59] Rank:None, Sample ID:114, Epoch[300/300], lr:0.00e+00 pred_PSNR: 24.9192
[2025/03/05 17:41:04] Rank:None, Sample ID:115, Epoch[300/300], lr:0.00e+00 pred_PSNR: 24.0509
[2025/03/05 17:41:08] Rank:None, Sample ID:116, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.0833
[2025/03/05 17:41:13] Rank:None, Sample ID:117, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.0031
[2025/03/05 17:41:18] Rank:None, Sample ID:118, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.3942
[2025/03/05 17:41:24] Rank:None, Sample ID:119, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.7438
[2025/03/05 17:41:29] Rank:None, Sample ID:120, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.3906
[2025/03/05 17:41:35] Rank:None, Sample ID:121, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.37
[2025/03/05 17:41:40] Rank:None, Sample ID:122, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.8082
[2025/03/05 17:41:45] Rank:None, Sample ID:123, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.3248
[2025/03/05 17:41:51] Rank:None, Sample ID:124, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.7592
[2025/03/05 17:41:56] Rank:None, Sample ID:125, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.6084
[2025/03/05 17:42:01] Rank:None, Sample ID:126, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.619
[2025/03/05 17:42:07] Rank:None, Sample ID:127, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.4417
[2025/03/05 17:42:12] Rank:None, Sample ID:128, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.941
[2025/03/05 17:42:19] Rank:None, Sample ID:129, Epoch[300/300], lr:0.00e+00 pred_PSNR: 23.0812
[2025/03/05 17:42:24] Rank:None, Sample ID:130, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.7034
[2025/03/05 17:42:29] Rank:None, Sample ID:131, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.1397
[2025/03/05 17:42:34] Rank:None, Sample ID:132, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.0789
[2025/03/05 17:42:39] Rank:None, Sample ID:133, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.1364
[2025/03/05 17:42:45] Rank:None, Sample ID:134, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.7271
[2025/03/05 17:42:51] Rank:None, Sample ID:135, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.0802
[2025/03/05 17:42:57] Rank:None, Sample ID:136, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.3145
[2025/03/05 17:43:03] Rank:None, Sample ID:137, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.9438
[2025/03/05 17:43:08] Rank:None, Sample ID:138, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.1858
[2025/03/05 17:43:14] Rank:None, Sample ID:139, Epoch[300/300], lr:0.00e+00 pred_PSNR: 23.3094
[2025/03/05 17:43:18] Rank:None, Sample ID:140, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.7334
[2025/03/05 17:43:23] Rank:None, Sample ID:141, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.3452
[2025/03/05 17:43:26] Rank:None, Sample ID:142, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.2208
[2025/03/05 17:43:31] Rank:None, Sample ID:143, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.0882
[2025/03/05 17:43:35] Rank:None, Sample ID:144, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.0992
[2025/03/05 17:43:40] Rank:None, Sample ID:145, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.0967
[2025/03/05 17:43:43] Rank:None, Sample ID:146, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.4199
[2025/03/05 17:43:48] Rank:None, Sample ID:147, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.6859
[2025/03/05 17:43:52] Rank:None, Sample ID:148, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.7535
[2025/03/05 17:43:58] Rank:None, Sample ID:149, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.5658
[2025/03/05 17:44:02] Rank:None, Sample ID:150, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.3449
[2025/03/05 17:44:07] Rank:None, Sample ID:151, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.0758
[2025/03/05 17:44:12] Rank:None, Sample ID:152, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.1393
[2025/03/05 17:44:17] Rank:None, Sample ID:153, Epoch[300/300], lr:0.00e+00 pred_PSNR: 23.2326
[2025/03/05 17:44:21] Rank:None, Sample ID:154, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.0442
[2025/03/05 17:44:26] Rank:None, Sample ID:155, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.5881
[2025/03/05 17:44:30] Rank:None, Sample ID:156, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.7725
[2025/03/05 17:44:36] Rank:None, Sample ID:157, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.2791
[2025/03/05 17:44:40] Rank:None, Sample ID:158, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.0478
[2025/03/05 17:44:45] Rank:None, Sample ID:159, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.8056
[2025/03/05 17:44:49] Rank:None, Sample ID:160, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.8519
[2025/03/05 17:44:54] Rank:None, Sample ID:161, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.5225
[2025/03/05 17:44:59] Rank:None, Sample ID:162, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.4376
[2025/03/05 17:45:04] Rank:None, Sample ID:163, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.5058
[2025/03/05 17:45:10] Rank:None, Sample ID:164, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.1064
[2025/03/05 17:45:15] Rank:None, Sample ID:165, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.242
[2025/03/05 17:45:20] Rank:None, Sample ID:166, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.1838
[2025/03/05 17:45:26] Rank:None, Sample ID:167, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.6
[2025/03/05 17:45:31] Rank:None, Sample ID:168, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.4183
[2025/03/05 17:45:36] Rank:None, Sample ID:169, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.0983
[2025/03/05 17:45:40] Rank:None, Sample ID:170, Epoch[300/300], lr:0.00e+00 pred_PSNR: 23.507
[2025/03/05 17:45:45] Rank:None, Sample ID:171, Epoch[300/300], lr:0.00e+00 pred_PSNR: 24.3387
